Stock Name, Date, Open Price, Low Price, High Price, Close Price, Weighted Average Price, No. of Shares, No of Trades, Total Turnover(Rs.),H-L,C-O
INFOSYS  LTD.-ORDINARY,2 August 2010,2,781.00,2,812.00,2,751.05,2,799.55,2,795.79,45902,2800,128,332,508.00,60.95,18.55
INFOSYS  LTD.-ORDINARY,3 August 2010,2,800.00,2,811.95,2,772.25,2,784.55,2,781.21,45993,2060,127,916,019.00,39.70,-15.45
INFOSYS  LTD.-ORDINARY,4 August 2010,2,790.05,2,875.00,2,790.05,2,867.80,2,855.46,128197,7001,366,061,573.00,84.95,77.75
INFOSYS  LTD.-ORDINARY,5 August 2010,2,881.00,2,906.80,2,867.80,2,873.40,2,890.39,77590,3854,224,265,420.00,39.00,-7.60
INFOSYS  LTD.-ORDINARY,6 August 2010,2,863.00,2,889.00,2,852.25,2,864.05,2,869.13,74219,3301,212,944,169.00,36.75,1.05
INFOSYS  LTD.-ORDINARY,9 August 2010,2,854.00,2,883.00,2,835.05,2,873.15,2,859.73,68960,3549,197,206,976.00,47.95,19.15
INFOSYS  LTD.-ORDINARY,10 August 2010,2,861.25,2,861.25,2,820.00,2,832.65,2,835.16,60585,3131,171,768,112.00,41.25,-28.60
INFOSYS  LTD.-ORDINARY,11 August 2010,2,836.00,2,852.00,2,800.15,2,810.80,2,819.16,49133,2640,138,513,917.00,51.85,-25.20
INFOSYS  LTD.-ORDINARY,12 August 2010,2,790.00,2,790.00,2,759.00,2,778.60,2,774.55,118737,3726,329,442,078.00,31.00,-11.40
INFOSYS  LTD.-ORDINARY,13 August 2010,2,777.00,2,798.00,2,757.00,2,780.20,2,773.82,160248,3460,444,499,743.00,41.00,3.20
INFOSYS  LTD.-ORDINARY,16 August 2010,2,760.00,2,775.90,2,750.00,2,759.50,2,761.35,94515,3257,260,989,365.00,25.90,-0.50
INFOSYS  LTD.-ORDINARY,17 August 2010,2,760.00,2,775.00,2,730.00,2,752.30,2,751.30,67304,2903,185,173,677.00,45.00,-7.70
INFOSYS  LTD.-ORDINARY,18 August 2010,2,765.10,2,815.50,2,758.15,2,805.15,2,780.00,68657,3192,190,866,691.00,57.35,40.05
INFOSYS  LTD.-ORDINARY,19 August 2010,2,820.00,2,820.00,2,785.00,2,804.10,2,806.70,52083,2602,146,181,325.00,35.00,-15.90
INFOSYS  LTD.-ORDINARY,20 August 2010,2,785.00,2,795.40,2,758.55,2,769.20,2,766.68,59665,2975,165,073,818.00,36.85,-15.80
INFOSYS  LTD.-ORDINARY,23 August 2010,2,761.00,2,806.80,2,760.00,2,792.35,2,793.32,39223,2152,109,562,253.00,46.80,31.35
INFOSYS  LTD.-ORDINARY,24 August 2010,2,785.00,2,792.35,2,756.00,2,765.50,2,766.74,47530,1991,131,502,971.00,36.35,-19.50
INFOSYS  LTD.-ORDINARY,25 August 2010,2,760.00,2,788.00,2,755.00,2,771.85,2,776.43,37236,2108,103,383,333.00,33.00,11.85
INFOSYS  LTD.-ORDINARY,26 August 2010,2,778.00,2,778.00,2,748.00,2,763.50,2,760.89,47555,2306,131,294,108.00,30.00,-14.50
INFOSYS  LTD.-ORDINARY,27 August 2010,2,757.00,2,757.00,2,690.00,2,708.85,2,710.51,79702,4503,216,032,996.00,67.00,-48.15
INFOSYS  LTD.-ORDINARY,30 August 2010,2,722.00,2,738.10,2,666.00,2,696.00,2,688.71,66615,3824,179,108,363.00,72.10,-26.00
INFOSYS  LTD.-ORDINARY,31 August 2010,2,680.00,2,718.00,2,675.00,2,707.10,2,694.04,60366,3435,162,628,565.00,43.00,27.10
INFOSYS  LTD.-ORDINARY,1 September 2010,2,707.00,2,783.15,2,707.00,2,775.75,2,751.44,88066,4167,242,308,589.00,76.15,68.75
